,sid,tangram nr,item,x,y,rot,grid_val,step,i_item
0,85931,1,BIG-T,-100.0,40.0,0.0,17.0,1.0,0
1,85931,1,SQUARE,-137.0,5.0,0.0,11.0,2.0,5
2,85931,1,SMALL-T,-66.0,3.0,135.0,12.0,3.0,3
3,85931,1,SMALL-T,-66.0,4.0,315.0,12.0,4.0,4
4,85931,1,BIG-T,-95.0,-36.0,225.0,7.0,5.0,1
5,85931,1,SQUARE,4.0,-68.0,0.0,8.0,6.0,5
6,85931,1,SMALL-T,-102.0,-23.0,315.0,7.0,7.0,4
7,85931,1,BIG-T,-103.0,-33.0,225.0,7.0,8.0,1
8,85931,1,SMALL-T,109.0,4.0,45.0,14.0,9.0,4
9,85931,1,SMALL-T,171.0,33.0,135.0,-1.0,100.0,3
10,85931,1,MIDDLE-T,75.0,15.0,45.0,14.0,10.0,2
11,85931,1,SQUARE,-65.0,2.0,0.0,12.0,11.0,5
12,85931,1,PARALL,46.0,-69.0,45.0,4.0,12.0,6
13,85931,1,MIDDLE-T,-29.0,-34.0,180.0,8.0,13.0,2
14,85931,1,SMALL-T,-137.0,2.0,45.0,11.0,14.0,4
15,85931,1,SMALL-T,-208.0,-67.0,45.0,5.0,15.0,3
16,85931,2,BIG-T,-101.0,41.0,0.0,13.0,1.0,0
17,85931,2,BIG-T,-168.0,9.0,225.0,7.0,100.0,1
18,85931,2,BIG-T,27.0,94.0,45.0,-1.0,100.0,0
19,85931,2,BIG-T,-99.0,41.0,0.0,13.0,2.0,1
20,85931,2,PARALL,-205.0,75.0,45.0,16.0,3.0,6
21,85931,2,BIG-T,-141.0,-61.0,0.0,2.0,4.0,0
22,85931,2,MIDDLE-T,-193.0,-11.0,315.0,6.0,5.0,2
23,85931,2,SQUARE,-166.0,150.0,0.0,22.0,6.0,5
24,85931,2,SMALL-T,-87.0,38.0,180.0,13.0,7.0,4
25,85931,2,SMALL-T,-39.0,-13.0,270.0,9.0,8.0,3
26,85931,2,SMALL-T,-89.0,38.0,180.0,13.0,9.0,4
27,85931,2,SMALL-T,-39.0,-13.0,270.0,9.0,10.0,3
28,85931,3,BIG-T,-236.0,9.0,135.0,11.0,1.0,1
29,85931,3,BIG-T,-59.0,-61.0,0.0,8.0,2.0,0
30,85931,3,PARALL,-120.0,-98.0,45.0,2.0,3.0,6
31,85931,3,SQUARE,-109.0,37.0,45.0,17.0,4.0,5
32,85931,3,SMALL-T,-162.0,89.0,90.0,22.0,5.0,3
33,85931,3,SMALL-T,-160.0,-10.0,90.0,12.0,6.0,4
34,85931,3,SQUARE,-111.0,40.0,45.0,17.0,7.0,5
35,85931,3,MIDDLE-T,-195.0,-64.0,180.0,6.0,8.0,2
36,85931,3,PARALL,-124.0,-100.0,45.0,2.0,9.0,6
37,85931,4,PARALL,-194.0,90.0,90.0,11.0,1.0,6
38,85931,4,SMALL-T,-65.0,243.0,0.0,23.0,2.0,4
39,85931,4,SQUARE,-65.0,208.0,0.0,23.0,3.0,5
40,85931,4,SMALL-T,-142.0,-152.0,135.0,2.0,4.0,3
41,85931,4,BIG-T,-60.0,70.0,270.0,13.0,5.0,0
42,85931,4,BIG-T,-78.0,-47.0,135.0,8.0,6.0,1
43,85931,4,BIG-T,-62.0,69.0,270.0,13.0,7.0,0
44,85931,4,BIG-T,-18.0,-6.0,90.0,9.0,8.0,1
45,85931,4,BIG-T,-130.0,101.0,135.0,17.0,9.0,0
46,85931,4,BIG-T,-71.0,-34.0,315.0,8.0,100.0,1
47,85931,4,BIG-T,52.0,87.0,135.0,-1.0,100.0,0
48,85931,4,PARALL,-363.0,56.0,90.0,-1.0,100.0,6
49,85931,4,BIG-T,-131.0,46.0,45.0,12.0,100.0,1
50,85931,4,BIG-T,-180.0,-91.0,90.0,6.0,100.0,0
51,85931,4,BIG-T,-138.0,41.0,45.0,12.0,100.0,1
52,85931,4,BIG-T,-308.0,-14.0,90.0,-1.0,100.0,0
53,85931,4,BIG-T,-132.0,-43.0,45.0,7.0,10.0,1
54,85931,4,BIG-T,-132.0,100.0,135.0,17.0,11.0,0
55,85931,4,PARALL,-191.0,90.0,90.0,11.0,12.0,6
56,85931,4,MIDDLE-T,-113.0,-64.0,225.0,7.0,13.0,2
57,92356,1,BIG-T,-98.0,43.0,0.0,17.0,1.0,0
58,92356,1,SQUARE,-136.0,3.0,0.0,11.0,2.0,5
59,92356,1,MIDDLE-T,1.0,-53.0,225.0,8.0,3.0,2
60,92356,1,SQUARE,70.0,35.0,0.0,14.0,4.0,5
61,92356,1,MIDDLE-T,-173.0,-31.0,90.0,6.0,5.0,2
62,92356,1,SMALL-T,-208.0,-69.0,45.0,0.0,100.0,4
63,92356,1,BIG-T,18.0,-84.0,270.0,3.0,100.0,1
64,92356,1,MIDDLE-T,249.0,10.0,90.0,-1.0,100.0,2
65,92356,1,BIG-T,-103.0,-31.0,315.0,7.0,6.0,1
66,92356,1,PARALL,44.0,-68.0,45.0,9.0,7.0,6
67,92356,1,SQUARE,102.0,11.0,0.0,14.0,100.0,5
68,92356,1,PARALL,211.0,-97.0,45.0,-1.0,100.0,6
69,92356,1,SQUARE,11.0,-69.0,0.0,3.0,8.0,5
70,92356,1,SMALL-T,79.0,-69.0,315.0,4.0,9.0,3
71,92356,1,MIDDLE-T,-75.0,-56.0,135.0,7.0,10.0,2
72,92356,1,BIG-T,-105.0,-32.0,315.0,7.0,11.0,1
73,92356,1,MIDDLE-T,157.0,24.0,135.0,-1.0,100.0,2
74,92356,1,PARALL,-56.0,-36.0,0.0,7.0,12.0,6
75,92356,1,SQUARE,6.0,-68.0,0.0,8.0,13.0,5
76,92356,1,MIDDLE-T,-122.0,-52.0,135.0,6.0,14.0,2
77,92356,1,PARALL,44.0,-2.0,0.0,14.0,100.0,6
78,92356,1,SQUARE,166.0,-33.0,0.0,-1.0,100.0,5
79,92356,1,BIG-T,138.0,5.0,315.0,-1.0,100.0,1
80,92356,1,MIDDLE-T,154.0,-87.0,135.0,-1.0,100.0,2
81,92356,1,PARALL,34.0,39.0,0.0,18.0,15.0,6
82,92356,1,SQUARE,7.0,-69.0,0.0,3.0,16.0,5
83,92356,1,BIG-T,-101.0,-31.0,45.0,7.0,17.0,1
84,92356,1,PARALL,144.0,-8.0,90.0,-1.0,100.0,6
85,92356,1,SQUARE,55.0,11.0,0.0,14.0,18.0,5
86,92356,1,SMALL-T,62.0,51.0,315.0,19.0,19.0,3
87,92356,1,BIG-T,-261.0,-39.0,45.0,-1.0,100.0,1
88,92356,1,PARALL,48.0,-68.0,45.0,9.0,20.0,6
89,92356,1,SMALL-T,9.0,-69.0,315.0,3.0,21.0,3
90,92356,1,BIG-T,-101.0,-31.0,45.0,7.0,22.0,1
91,92356,1,MIDDLE-T,-80.0,-53.0,225.0,7.0,23.0,2
92,92356,1,SMALL-T,-71.0,-18.0,45.0,7.0,24.0,4
93,92356,1,SQUARE,-172.0,-69.0,0.0,1.0,25.0,5
94,92356,1,MIDDLE-T,115.0,-25.0,225.0,9.0,26.0,2
95,92356,1,SQUARE,-129.0,-63.0,0.0,6.0,27.0,5
96,92356,1,BIG-T,100.0,-37.0,45.0,9.0,28.0,1
97,92356,1,SMALL-T,89.0,47.0,45.0,19.0,29.0,4
98,92356,1,SQUARE,-139.0,3.0,0.0,11.0,30.0,5
99,92356,1,BIG-T,-98.0,-31.0,45.0,7.0,31.0,1
100,92356,1,SQUARE,43.0,61.0,0.0,18.0,32.0,5
101,92356,1,BIG-T,-101.0,-35.0,225.0,7.0,33.0,0
102,92356,1,SMALL-T,-208.0,-69.0,45.0,0.0,100.0,4
103,92356,1,SQUARE,-100.0,73.0,0.0,17.0,34.0,5
104,92356,1,MIDDLE-T,-51.0,91.0,225.0,22.0,35.0,2
105,92356,1,SQUARE,65.0,48.0,45.0,19.0,36.0,5
106,92356,1,MIDDLE-T,31.0,135.0,225.0,23.0,37.0,2
107,92356,1,BIG-T,-100.0,41.0,0.0,17.0,38.0,1
108,92356,1,MIDDLE-T,39.0,136.0,270.0,23.0,39.0,2
109,92356,1,BIG-T,236.0,-37.0,225.0,-1.0,100.0,0
110,92356,1,SMALL-T,161.0,-69.0,45.0,-1.0,100.0,4
111,92356,1,SQUARE,-137.0,-70.0,0.0,1.0,40.0,5
112,92356,1,SMALL-T,-203.0,-70.0,45.0,0.0,100.0,4
113,92356,1,SMALL-T,140.0,21.0,315.0,-1.0,100.0,3
114,92356,1,PARALL,224.0,49.0,45.0,-1.0,100.0,6
115,92356,1,BIG-T,-30.0,-33.0,225.0,8.0,41.0,0
116,92356,1,SMALL-T,101.0,49.0,315.0,19.0,42.0,3
117,92356,1,SQUARE,-137.0,6.0,0.0,11.0,43.0,5
118,92356,1,SMALL-T,-211.0,-69.0,45.0,0.0,100.0,4
119,92356,1,SQUARE,-271.0,23.0,45.0,-1.0,100.0,5
120,92356,1,BIG-T,-101.0,-33.0,225.0,7.0,44.0,0
121,92356,1,SMALL-T,80.0,-69.0,315.0,4.0,45.0,3
122,92356,1,BIG-T,-102.0,-36.0,45.0,7.0,46.0,1
123,92356,1,SQUARE,9.0,-66.0,0.0,8.0,47.0,5
124,92356,1,MIDDLE-T,-98.0,76.0,0.0,17.0,48.0,2
125,92356,1,PARALL,-118.0,50.0,90.0,16.0,49.0,6
126,92356,1,MIDDLE-T,59.0,66.0,0.0,19.0,50.0,2
127,92356,1,PARALL,-69.0,61.0,90.0,17.0,51.0,6
128,92356,1,MIDDLE-T,-53.0,92.0,225.0,22.0,52.0,2
129,92356,1,PARALL,-169.0,81.0,90.0,16.0,53.0,6
130,92356,1,MIDDLE-T,-43.0,87.0,225.0,17.0,54.0,2
131,92356,1,PARALL,-131.0,74.0,45.0,16.0,55.0,6
132,92356,1,SQUARE,4.0,-70.0,0.0,3.0,56.0,5
133,92356,1,PARALL,90.0,84.0,45.0,19.0,57.0,6
134,92356,1,MIDDLE-T,-50.0,88.0,225.0,22.0,58.0,2
135,92356,1,SMALL-T,-135.0,109.0,135.0,21.0,59.0,4
136,92356,1,MIDDLE-T,53.0,110.0,225.0,24.0,60.0,2
137,92356,1,SMALL-T,-287.0,64.0,135.0,-1.0,100.0,4
138,92356,1,BIG-T,-102.0,40.0,0.0,17.0,61.0,1
139,92356,1,SMALL-T,-208.0,-66.0,45.0,5.0,62.0,4
140,92356,1,MIDDLE-T,-75.0,-11.0,45.0,12.0,63.0,2
141,92356,1,SQUARE,54.0,131.0,0.0,24.0,64.0,5
142,92356,1,MIDDLE-T,167.0,-16.0,45.0,-1.0,100.0,2
143,92356,1,PARALL,27.0,-1.0,90.0,13.0,100.0,6
144,92356,1,SMALL-T,181.0,-25.0,315.0,-1.0,100.0,3
145,92356,1,PARALL,47.0,-69.0,45.0,4.0,65.0,6
146,92356,1,SMALL-T,8.0,-69.0,315.0,3.0,66.0,3
147,92356,1,MIDDLE-T,-112.0,56.0,45.0,16.0,67.0,2
148,92356,1,BIG-T,-103.0,-34.0,225.0,7.0,68.0,0
149,92356,1,MIDDLE-T,-128.0,-12.0,45.0,11.0,69.0,2
150,92356,2,SQUARE,-167.0,148.0,0.0,22.0,1.0,5
151,92356,2,SMALL-T,-222.0,41.0,0.0,11.0,2.0,4
152,92356,2,MIDDLE-T,-189.0,-10.0,225.0,6.0,3.0,2
153,92356,2,BIG-T,-103.0,42.0,0.0,13.0,4.0,1
154,92356,2,SMALL-T,70.0,82.0,0.0,-1.0,100.0,4
155,92356,2,PARALL,-204.0,76.0,45.0,16.0,5.0,6
156,92356,2,BIG-T,-136.0,39.0,180.0,12.0,6.0,0
157,92356,2,SMALL-T,-74.0,2.0,135.0,8.0,7.0,3
158,92356,2,SMALL-T,58.0,-30.0,135.0,-1.0,100.0,4
159,92356,2,SMALL-T,36.0,13.0,135.0,-1.0,100.0,3
160,92356,2,BIG-T,107.0,122.0,180.0,-1.0,100.0,0
161,92356,2,SQUARE,-29.0,163.0,0.0,24.0,8.0,5
162,92356,2,SMALL-T,-166.0,147.0,135.0,22.0,9.0,3
163,92356,2,SMALL-T,-169.0,148.0,315.0,21.0,10.0,4
164,92356,2,BIG-T,-140.0,38.0,180.0,12.0,11.0,0
165,92356,2,BIG-T,-101.0,40.0,0.0,13.0,12.0,1
166,92356,2,SQUARE,76.0,5.0,0.0,-1.0,100.0,5
167,92356,2,MIDDLE-T,-88.0,-11.0,135.0,8.0,13.0,2
168,92356,2,PARALL,-320.0,42.0,45.0,-1.0,100.0,6
169,92356,2,SMALL-T,-237.0,75.0,135.0,15.0,100.0,4
170,92356,2,SMALL-T,-5.0,53.0,135.0,14.0,14.0,3
171,92356,2,PARALL,-177.0,114.0,0.0,16.0,15.0,6
172,92356,2,SMALL-T,-55.0,93.0,135.0,19.0,16.0,4
173,92356,2,PARALL,-203.0,76.0,45.0,16.0,17.0,6
174,92356,2,SMALL-T,-204.0,-26.0,225.0,6.0,18.0,3
175,92356,2,BIG-T,22.0,203.0,180.0,-1.0,100.0,0
176,92356,2,PARALL,-116.0,-19.0,45.0,7.0,100.0,6
177,92356,2,SMALL-T,-300.0,-23.0,225.0,-1.0,100.0,3
178,92356,2,PARALL,-109.0,5.0,45.0,8.0,19.0,6
179,92356,2,BIG-T,-140.0,38.0,180.0,12.0,20.0,1
180,92356,2,BIG-T,-97.0,40.0,0.0,13.0,21.0,0
181,92356,2,PARALL,-201.0,77.0,45.0,16.0,22.0,6
182,92356,2,SMALL-T,-85.0,70.0,135.0,18.0,23.0,4
183,92356,2,SQUARE,-165.0,137.0,0.0,22.0,24.0,5
184,92356,2,SMALL-T,-51.0,-13.0,135.0,9.0,25.0,4
185,92356,2,SMALL-T,-204.0,-26.0,225.0,6.0,26.0,3
186,92356,2,SMALL-T,45.0,4.0,135.0,-1.0,100.0,4
187,92356,3,BIG-T,-33.0,9.0,225.0,13.0,1.0,0
188,92356,3,BIG-T,-234.0,10.0,135.0,11.0,2.0,1
189,92356,3,MIDDLE-T,50.0,101.0,90.0,24.0,3.0,2
190,92356,3,PARALL,181.0,-100.0,90.0,-1.0,100.0,6
191,92356,3,SQUARE,-159.0,-100.0,0.0,2.0,4.0,5
192,92356,3,SMALL-T,-231.0,-99.0,45.0,1.0,5.0,4
193,92356,3,SMALL-T,-89.0,-102.0,315.0,3.0,6.0,3
194,92356,3,BIG-T,-91.0,72.0,225.0,18.0,7.0,0
195,92356,3,PARALL,200.0,-75.0,90.0,-1.0,100.0,6
196,92356,3,BIG-T,97.0,-8.0,135.0,-1.0,100.0,1
197,92356,3,BIG-T,-260.0,158.0,225.0,-1.0,100.0,0
198,92356,3,PARALL,-36.0,-35.0,90.0,8.0,8.0,6
199,92356,3,BIG-T,-91.0,71.0,225.0,18.0,9.0,0
200,92356,3,PARALL,225.0,11.0,90.0,-1.0,100.0,6
201,92356,3,MIDDLE-T,-215.0,34.0,135.0,16.0,10.0,2
202,92356,3,PARALL,47.0,53.0,90.0,19.0,11.0,6
