,tangram nr,item,grid_val,rot,counts
0,1,big triangle,-1.0,0.0,10
1,1,big triangle,-1.0,45.0,1
2,1,big triangle,-1.0,180.0,5
3,1,big triangle,-1.0,225.0,1
4,1,big triangle,-1.0,270.0,2
5,1,big triangle,-1.0,315.0,4
6,1,big triangle,1.0,0.0,4
7,1,big triangle,1.0,45.0,1
8,1,big triangle,2.0,0.0,5
9,1,big triangle,2.0,270.0,1
10,1,big triangle,5.0,0.0,1
11,1,big triangle,5.0,45.0,9
12,1,big triangle,5.0,135.0,6
13,1,big triangle,5.0,225.0,9
14,1,big triangle,5.0,270.0,1
15,1,big triangle,5.0,315.0,15
16,1,big triangle,6.0,180.0,2
17,1,big triangle,6.0,225.0,2
18,1,big triangle,6.0,270.0,1
19,1,big triangle,9.0,0.0,33
20,1,big triangle,9.0,180.0,1
21,1,big triangle,9.0,315.0,1
22,1,big triangle,10.0,225.0,1
23,1,big triangle,11.0,180.0,1
24,1,big triangle,13.0,180.0,2
25,1,big triangle,13.0,225.0,1
26,1,big triangle,14.0,180.0,1
27,1,big triangle,15.0,0.0,1
28,1,big triangle,15.0,270.0,2
29,1,middle triangle,-1.0,0.0,2
30,1,middle triangle,-1.0,45.0,1
31,1,middle triangle,-1.0,90.0,2
32,1,middle triangle,-1.0,135.0,3
33,1,middle triangle,-1.0,180.0,6
34,1,middle triangle,-1.0,225.0,6
35,1,middle triangle,-1.0,315.0,1
36,1,middle triangle,1.0,0.0,3
37,1,middle triangle,1.0,135.0,1
38,1,middle triangle,2.0,180.0,1
39,1,middle triangle,4.0,90.0,1
40,1,middle triangle,4.0,180.0,8
41,1,middle triangle,5.0,135.0,4
42,1,middle triangle,5.0,180.0,1
43,1,middle triangle,5.0,315.0,1
44,1,middle triangle,6.0,180.0,4
45,1,middle triangle,6.0,225.0,1
46,1,middle triangle,7.0,45.0,1
47,1,middle triangle,7.0,180.0,14
48,1,middle triangle,9.0,0.0,1
49,1,middle triangle,11.0,45.0,2
50,1,middle triangle,13.0,135.0,2
51,1,middle triangle,14.0,225.0,1
52,1,middle triangle,15.0,180.0,2
53,1,parallelogram,-1.0,0.0,1
54,1,parallelogram,-1.0,45.0,4
55,1,parallelogram,-1.0,90.0,26
56,1,parallelogram,-1.0,135.0,5
57,1,parallelogram,0.0,135.0,2
58,1,parallelogram,1.0,45.0,4
59,1,parallelogram,1.0,90.0,1
60,1,parallelogram,1.0,135.0,1
61,1,parallelogram,2.0,0.0,1
62,1,parallelogram,2.0,90.0,5
63,1,parallelogram,2.0,135.0,3
64,1,parallelogram,3.0,0.0,1
65,1,parallelogram,3.0,45.0,15
66,1,parallelogram,5.0,135.0,6
67,1,parallelogram,6.0,0.0,1
68,1,parallelogram,6.0,45.0,2
69,1,parallelogram,6.0,90.0,1
70,1,parallelogram,6.0,135.0,1
71,1,parallelogram,9.0,90.0,3
72,1,parallelogram,11.0,135.0,1
