,tangram nr,item,grid_val,rot,counts
0,1,BIG-T,2.0,0.0,7
1,1,BIG-T,7.0,45.0,15
2,1,BIG-T,7.0,135.0,7
3,1,BIG-T,7.0,225.0,13
4,1,BIG-T,7.0,315.0,18
5,1,BIG-T,8.0,180.0,1
6,1,BIG-T,8.0,225.0,5
7,1,BIG-T,10.0,45.0,1
8,1,BIG-T,12.0,0.0,2
9,1,BIG-T,14.0,135.0,1
10,1,BIG-T,17.0,0.0,36
11,1,BIG-T,17.0,180.0,2
12,1,BIG-T,17.0,225.0,1
13,1,BIG-T,17.0,315.0,1
14,1,BIG-T,19.0,180.0,1
15,1,BIG-T,22.0,180.0,1
16,1,BIG-T,23.0,0.0,1
17,1,BIG-T,24.0,0.0,2
18,1,BIG-T,24.0,270.0,2
19,1,MIDDLE-T,2.0,0.0,4
20,1,MIDDLE-T,3.0,0.0,1
21,1,MIDDLE-T,3.0,180.0,1
22,1,MIDDLE-T,6.0,90.0,1
23,1,MIDDLE-T,6.0,135.0,2
24,1,MIDDLE-T,6.0,180.0,11
25,1,MIDDLE-T,7.0,0.0,1
26,1,MIDDLE-T,7.0,135.0,1
27,1,MIDDLE-T,8.0,180.0,10
28,1,MIDDLE-T,8.0,225.0,1
29,1,MIDDLE-T,8.0,315.0,1
30,1,MIDDLE-T,9.0,180.0,12
31,1,MIDDLE-T,11.0,45.0,3
32,1,MIDDLE-T,11.0,225.0,1
33,1,MIDDLE-T,11.0,315.0,1
34,1,MIDDLE-T,12.0,135.0,2
35,1,MIDDLE-T,14.0,0.0,1
36,1,MIDDLE-T,14.0,45.0,3
37,1,MIDDLE-T,16.0,135.0,1
38,1,MIDDLE-T,17.0,0.0,2
39,1,MIDDLE-T,19.0,180.0,1
40,1,MIDDLE-T,21.0,135.0,1
41,1,MIDDLE-T,23.0,45.0,1
42,1,MIDDLE-T,24.0,180.0,1
43,1,PARALL,1.0,135.0,2
44,1,PARALL,2.0,45.0,2
45,1,PARALL,2.0,90.0,3
46,1,PARALL,3.0,45.0,1
47,1,PARALL,3.0,90.0,4
48,1,PARALL,3.0,135.0,3
49,1,PARALL,4.0,45.0,7
50,1,PARALL,6.0,135.0,5
51,1,PARALL,7.0,0.0,1
52,1,PARALL,7.0,45.0,2
53,1,PARALL,7.0,135.0,1
54,1,PARALL,8.0,0.0,2
55,1,PARALL,8.0,45.0,3
56,1,PARALL,8.0,90.0,2
57,1,PARALL,8.0,135.0,2
58,1,PARALL,9.0,45.0,7
59,1,PARALL,12.0,45.0,1
60,1,PARALL,12.0,90.0,1
61,1,PARALL,12.0,135.0,4
62,1,PARALL,13.0,0.0,1
63,1,PARALL,14.0,135.0,1
64,1,PARALL,16.0,90.0,2
65,1,PARALL,17.0,90.0,4
66,1,PARALL,18.0,0.0,1
67,1,PARALL,19.0,45.0,1
68,1,PARALL,19.0,135.0,1
69,1,PARALL,20.0,90.0,1
70,1,PARALL,20.0,135.0,1
71,1,PARALL,23.0,90.0,1
72,1,PARALL,24.0,45.0,2
73,1,PARALL,24.0,90.0,2
74,1,PARALL,24.0,135.0,1
75,1,PARALL,25.0,90.0,1
76,1,SMALL-T,1.0,225.0,2
77,1,SMALL-T,2.0,135.0,1
78,1,SMALL-T,2.0,225.0,1
79,1,SMALL-T,3.0,225.0,1
80,1,SMALL-T,3.0,315.0,2
81,1,SMALL-T,4.0,45.0,1
82,1,SMALL-T,4.0,315.0,8
83,1,SMALL-T,5.0,45.0,13
84,1,SMALL-T,6.0,45.0,3
85,1,SMALL-T,7.0,315.0,2
86,1,SMALL-T,8.0,135.0,1
87,1,SMALL-T,8.0,225.0,1
88,1,SMALL-T,8.0,315.0,1
89,1,SMALL-T,9.0,135.0,1
90,1,SMALL-T,9.0,315.0,4
91,1,SMALL-T,11.0,45.0,8
92,1,SMALL-T,11.0,135.0,3
93,1,SMALL-T,11.0,315.0,4
94,1,SMALL-T,12.0,45.0,9
95,1,SMALL-T,12.0,135.0,5
96,1,SMALL-T,12.0,315.0,7
97,1,SMALL-T,14.0,45.0,3
98,1,SMALL-T,14.0,135.0,2
99,1,SMALL-T,14.0,315.0,1
100,1,SMALL-T,15.0,225.0,1
101,1,SMALL-T,16.0,0.0,2
102,1,SMALL-T,17.0,0.0,2
103,1,SMALL-T,19.0,45.0,1
104,1,SMALL-T,19.0,135.0,2
105,1,SMALL-T,22.0,0.0,2
