,sid,tangram nr,item,x,y,rot,grid_val,step
0,85931,1,BIG-T,-100.0,40.0,0.0,17.0,1.0
1,85931,1,SQUARE,-137.0,5.0,0.0,11.0,2.0
2,85931,1,SMALL-T,-66.0,3.0,135.0,12.0,3.0
3,85931,1,SMALL-T,-66.0,4.0,315.0,12.0,4.0
4,85931,1,BIG-T,-95.0,-36.0,225.0,7.0,5.0
5,85931,1,SQUARE,4.0,-68.0,0.0,8.0,6.0
6,85931,1,SMALL-T,-102.0,-23.0,315.0,7.0,7.0
7,85931,1,BIG-T,-103.0,-33.0,225.0,7.0,8.0
8,85931,1,SMALL-T,109.0,4.0,45.0,14.0,9.0
10,85931,1,MIDDLE-T,75.0,15.0,45.0,14.0,10.0
11,85931,1,SQUARE,-65.0,2.0,0.0,12.0,11.0
12,85931,1,PARALL,46.0,-69.0,45.0,4.0,12.0
13,85931,1,MIDDLE-T,-29.0,-34.0,180.0,8.0,13.0
14,85931,1,SMALL-T,-137.0,2.0,45.0,11.0,14.0
15,85931,1,SMALL-T,-208.0,-67.0,45.0,5.0,15.0
16,85931,2,BIG-T,-101.0,41.0,0.0,13.0,1.0
19,85931,2,BIG-T,-99.0,41.0,0.0,13.0,2.0
20,85931,2,PARALL,-205.0,75.0,45.0,11.0,3.0
21,85931,2,BIG-T,-141.0,-61.0,0.0,2.0,4.0
22,85931,2,MIDDLE-T,-193.0,-11.0,315.0,6.0,5.0
23,85931,2,SQUARE,-166.0,150.0,0.0,22.0,6.0
24,85931,2,SMALL-T,-87.0,38.0,180.0,13.0,7.0
25,85931,2,SMALL-T,-39.0,-13.0,270.0,9.0,8.0
26,85931,2,SMALL-T,-89.0,38.0,180.0,13.0,9.0
27,85931,2,SMALL-T,-39.0,-13.0,270.0,9.0,10.0
28,85931,3,BIG-T,-236.0,9.0,135.0,11.0,1.0
29,85931,3,BIG-T,-59.0,-61.0,0.0,8.0,2.0
30,85931,3,PARALL,-120.0,-98.0,45.0,2.0,3.0
