,run,step,small triangle,middle triangle,big triangle,square,parallelogram
0,0,1,set(),set(),set(),set(),"{(16.0, 45.0)}"
1,0,2,set(),set(),"{(2.0, 0.0)}",set(),"{(16.0, 45.0)}"
2,0,3,set(),set(),"{(2.0, 0.0), (13.0, 0.0)}",set(),"{(16.0, 45.0)}"
3,0,4,set(),set(),"{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
4,0,5,"{(9.0, 270.0)}",set(),"{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
5,0,6,"{(9.0, 270.0), (13.0, 180.0)}",set(),"{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
6,0,7,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
7,0,8,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
8,0,9,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
9,0,10,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
10,0,11,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
11,0,12,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
12,0,13,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
13,0,14,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
14,0,15,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
15,0,16,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
16,0,17,"{(9.0, 270.0), (13.0, 180.0)}","{(6.0, 315.0)}","{(2.0, 0.0), (13.0, 0.0)}","{(22.0, 0.0)}","{(16.0, 45.0)}"
17,1,1,set(),"{(11.0, 0.0)}",set(),set(),set()
18,1,2,set(),"{(11.0, 0.0)}",set(),"{(22.0, 0.0)}",set()
19,1,3,set(),"{(11.0, 0.0)}","{(12.0, 180.0)}","{(22.0, 0.0)}",set()
20,1,4,set(),"{(11.0, 0.0)}","{(8.0, 135.0)}","{(22.0, 0.0)}",set()
21,1,5,"{(3.0, 0.0)}","{(11.0, 0.0)}",set(),"{(22.0, 0.0)}",set()
22,1,6,"{(18.0, 0.0), (3.0, 0.0)}","{(11.0, 0.0)}",set(),"{(22.0, 0.0)}",set()
23,1,7,"{(18.0, 0.0), (3.0, 0.0)}","{(11.0, 0.0)}","{(12.0, 180.0)}","{(22.0, 0.0)}",set()
24,1,8,"{(18.0, 0.0), (3.0, 0.0)}","{(11.0, 0.0)}",set(),"{(22.0, 0.0)}","{(13.0, 90.0)}"
25,1,9,"{(18.0, 0.0), (3.0, 0.0)}",set(),"{(12.0, 180.0)}","{(22.0, 0.0)}","{(13.0, 90.0)}"
26,1,10,"{(18.0, 0.0), (3.0, 0.0)}","{(6.0, 225.0)}",set(),"{(22.0, 0.0)}","{(13.0, 90.0)}"
27,1,11,"{(18.0, 0.0), (3.0, 0.0)}","{(6.0, 225.0)}",set(),"{(22.0, 0.0)}","{(13.0, 90.0)}"
28,1,12,"{(3.0, 0.0)}","{(6.0, 225.0)}","{(12.0, 180.0)}","{(22.0, 0.0)}","{(13.0, 90.0)}"
29,1,13,"{(11.0, 180.0), (3.0, 0.0)}","{(6.0, 225.0)}",set(),"{(22.0, 0.0)}","{(13.0, 90.0)}"
